Câu hỏi, Lựa chọn A, Lựa chọn B, Lựa chọn C, Lựa chọn D, Đáp án
Thủ đô của Úc là gì?, Sydney, Canberra, Melbourne, Brisbane, Canberra
Con sông nào là dài nhất thế giới?, Nile, Amazon, Yangtze, Mississippi, Nile
Năm nào Chiến tranh thế giới I bắt đầu?, 1914, 1917, 1919, 1920, 1914
Đơn vị tiền tệ của Nhật Bản là gì?, Yên, Won, Baht, Ringgit, Yên
Ai là tác giả của "Romeo and Juliet"?, William Shakespeare, Jane Austen, Charles Dickens, Mark Twain, William Shakespeare
Loài động vật nào là lớn nhất trên Trái đất?, Cá voi xanh, Voi, Hươu cao cổ, Thằn lằn, Cá voi xanh
Hành tinh nào được biết đến với tên gọi là Hành tinh Đỏ?, Sao Hỏa, Sao Kim, Sao Mộc, Sao Thổ, Sao Hỏa
Ai là người vẽ bức tranh Mona Lisa?, Leonardo da Vinci, Vincent van Gogh, Pablo Picasso, Claude Monet, Leonardo da Vinci
Núi nào là cao nhất thế giới?, Đỉnh núi Everest, K2, Kangchenjunga, Lhotse, Đỉnh núi Everest
Quốc gia nào được biết đến với cái tên "Đất của Ánh Dương mọc"?, Nhật Bản, Trung Quốc, Hàn Quốc, Việt Nam, Nhật Bản
Ai là tác giả của "To Kill a Mockingbird"?, Harper Lee, J.K. Rowling, George Orwell, Ernest Hemingway, Harper Lee
Nguyên liệu chính trong guacamole là gì?, Bơ, Cà chua, Hành, Chanh, Bơ
Đại dương nào lớn nhất?, Đại Tây Dương, Đại Dương Atlantica, Đại Dương Ấn Độ, Đại Dương Nam Cực, Đại Tây Dương
Thủ đô của Pháp là gì?, Paris, Rome, Berlin, Madrid, Paris
Ai phát hiện ra khái niệm "penicillin"?, Alexander Fleming, Marie Curie, Albert Einstein, Isaac Newton, Alexander Fleming
Thực vật hấp thụ khí nào trong quá trình quang hợp?, Carbon dioxide, Oxygen, Nitrogen, Hydrogen, Carbon dioxide
Hoa quốc gia của Nhật Bản là gì?, Hoa Anh Đào, Hoa Hồng, Sen, Hoa Hướng Dương, Hoa Anh Đào
Tổng thống Hoa Kỳ đầu tiên là ai?, George Washington, Thomas Jefferson, John Adams, James Madison, George Washington
Năm nào con tàu Titanic chìm?, 1912, 1915, 1918, 1920, 1912
Sa mạc lớn nhất thế giới là gì?, Nam Cực, Sa mạc Sahara, Sa mạc Gobi, Sa mạc Ả Rập, Nam Cực
Ai là tác giả của "1984"?, George Orwell, Aldous Huxley, Ray Bradbury, J.R.R. Tolkien, George Orwell
Đơn vị tiền tệ của Trung Quốc là gì?, Nhân dân tệ, Yên, Won, Ringgit, Nhân dân tệ
Nguyên tố nào có ký hiệu hóa học là "O"?, Oxygen, Gold, Silver, Carbon, Oxygen
Người được biết đến với danh hiệu "Cha đẻ của Khoa học máy tính" là ai?, Alan Turing, Bill Gates, Steve Jobs, Mark Zuckerberg, Alan Turing
Động vật quốc gia của Úc là gì?, Kangaroo, Koala, Emu, Platypus, Kangaroo
Hành tinh nào được biết đến với tên gọi "Hành tinh Xanh"?, Trái Đất, Sao Hỏa, Sao Hải Vương, Sao Thiên Vương, Trái Đất
Ai vẽ bức tranh "Đêm sao sáng"?, Vincent van Gogh, Leonardo da Vinci, Pablo Picasso, Claude Monet, Vincent van Gogh
Số nguyên tố nhỏ nhất là gì?, 2, 1, 3, 5, 2
Thành phố lớn nhất thế giới theo dân số là gì?, Tokyo, Delhi, Shanghai, Beijing, Tokyo
Ai phát triển ra lý thuyết tương đối?, Albert Einstein, Isaac Newton, Galileo Galilei, Stephen Hawking, Albert Einstein
Thủ đô của Brazil là gì?, Brasília, Rio de Janeiro, São Paulo, Salvador, Brasília
Quốc gia nào được biết đến với cái tên "Đất của Ánh Dương mọc"?, Nhật Bản, Trung Quốc, Hàn Quốc, Việt Nam, Nhật Bản
Ai là tác giả của "Pride and Prejudice"?, Jane Austen, Emily Brontë, Charlotte Brontë, Charles Dickens, Jane Austen
Hành tinh lớn nhất trong hệ mặt trời là gì?, Sao Mộc, Sao Thổ, Sao Hỏa, Trái Đất, Sao Mộc
Ai là tác giả của loạt sách Harry Potter?, J.K. Rowling, J.R.R. Tolkien, George R.R. Martin, C.S. Lewis, J.K. Rowling
Thủ đô của Canada là gì?, Ottawa, Toronto, Vancouver, Montreal, Ottawa
Nguyên liệu chính trong mì xào truyền thống của Nhật Bản là gì?, Bột miso, Đậu phộng, Rong biển, Gạo, Bột miso
Ai viết "The Great Gatsby"?, F. Scott Fitzgerald, Ernest Hemingway, William Faulkner, John Steinbeck, F. Scott Fitzgerald
Tiền tệ của Ấn Độ là gì?, Rupi Ấn Độ, Rupiah, Ringgit, Baht, Rupi Ấn Độ
Khí nào chiếm đa số trong khí quyển Trái Đất?, Nitrogen, Oxygen, Carbon dioxide, Argon, Nitrogen
Ai phát hiện ra lý thuyết tiến hóa qua tự nhiên?, Charles Darwin, Gregor Mendel, Alfred Russel Wallace, Lamarck, Charles Darwin
Thủ đô của Nam Phi là gì?, Pretoria, Cape Town, Johannesburg, Durban, Pretoria
Quốc gia nhỏ nhất trên thế giới là gì?, Vatican City, Monaco, Nauru, Tuvalu, Vatican City
Ai viết "The Catcher in the Rye"?, J.D. Salinger, F. Scott Fitzgerald, Ernest Hemingway, George Orwell, J.D. Salinger
Tiền tệ của Mexico là gì?, Peso Mexico, Euro, Đô la, Yên, Peso Mexico
